_id,NOMVAIXELL,NUMLLOYDS,TIPUSVAIXELLLLOYDS,CALLSIGN,MMSI,PAISISO,PORTREGISTREISO,TIPVAIXELL,MAXCALAT,MAXESLORA,MAXMANIGA,NUMRAMPES
1,4 ROSES,1007718,Yacht,V7JQ8,538070201,MH,MHBII,23,3,"56,5","10,26",
2,4 YOU,9564413,Yacht,V7NO9,538071090,MH,MHBII,23,"1,88",47,"8,5",
3,5 ANGELS,1010088,Yacht,ZCYL2,319011100,KY,"",23,"3,5",60,"11,1",
4,50,9842932,Tug,ORMQ,205045000,BE,BEANR,22,"3,45","24,73","12,5",
5,A,1009340,Yacht,MKOT8,,ZZ,"",23,"5,15",119,"18,87",
6,A LINE,9246920,Bulk Carrier,8PHO4,314715000,BB,BBBGI,12,"8,63","115,33","19,6",
7,A. GAUDI,7330002,"",EGDZ,224110330,ES,ESBCN,22,0,"32,21","8,08",
8,A. P. MOLLER,9214898,Container Ship (Fully Cellular),OUMQ2,219031419,DK,DKDRA,17,"14,94","346,98","42,8",
9,A+,9551454,Yacht,ZGBL4,319054000,KY,"",23,"5,7","147,25","21,5",
10,A2,1008035,Yacht,ZGBH4,319043700,KY,"",23,"2,41","47,35","8,11",
11,A2B LEADER,9113733,Container Ship (Fully Cellular),PDVC,246899000,NL,NLMOE,17,"6,54","101,09","18,2",
12,A2B PROUD,9122239,Container Ship (Fully Cellular),PEUQ,245502000,NL,NLRTM,17,"6,55","101,13","18,2",
13,AAL KOBE,9498444,General Cargo Ship,D5OJ7,636018143,LR,LRMLW,13,"11,2","193,8","28,18",
14,AAL MELBOURNE,9498456,General Cargo Ship,D5OJ8,636018144,LR,LRMLW,13,"11,2","193,83","28,2",
15,AAL PARIS,9594494,General Cargo Ship,5BVD5,209451000,CY,CYLMS,13,"10,8","179,47",28,
16,AAL SINGAPORE,9498365,General Cargo Ship,D5OJ2,636018138,LR,LRMLW,13,"11,2","193,8","28,2",
17,AALTO,1009118,Yacht,V7YZ2,538070869,MH,MHBII,23,"3,9",80,"13,8",
18,AAMIRA,9443401,LNG Tanker,V7QG2,538003354,MH,MHMAJ,14,"12,22","345,33","53,8",
19,AASNES,9101546,"General Cargo Ship, Self-discharging",LAFF6,236701000,GI,GIGIB,13,"7,16","99,88",17,
20,AASTIND,9147136,General Cargo Ship,ZDRJ9,236729000,GI,GIGIB,13,"6,85","116,58","16,5",
21,AASVIK,9433389,General Cargo Ship,CQLB,255752000,PT,PTFNC,13,"6,39","116,08","15,8",
22,AB SERENA,9434668,Chemical/Products Tanker,3EOS9,372493000,PA,PAPTY,11,"8,75","127,9","20,4",
23,ABANA,9158070,General Cargo Ship,YJWX8,577478000,VU,VUVLI,13,"7,26","121,5","15,85",
24,ABB VANESSA,9437309,General Cargo Ship,CQQS,255803280,PT,PTFNC,13,8,"139,02",21,
25,ABDULAZIZ ARAB,7923548,"",HZBI,403004000,SA,SAJED,13,"10,2","193,35","22,97",
26,ABEKO SERVER 1,,"",PFSZ,245589000,NL,NLBEV,22,4,"55,15","15,2",
27,ABEKO SERVER 2,,"",PEDD,,NL,NLBEV,22,3,"46,11","11,2",
28,ABEL MATUTES,9441130,Passenger/Ro-Ro Ship (Vehicles),ECPD,224402000,ES,ESSCT,15,"6,3","190,5",26,3
29,ABERDEEN,9313723,General Cargo Ship,9HWD9,253612000,LU,LULUX,13,"5,13","88,3","12,4",
30,ABILITY,9145645,General Cargo Ship,ELZE4,374352000,PA,PAPTY,13,"9,47","141,35","22,5",
31,ABIS ALBUFEIRA,9501708,"",PBNK,245825000,NL,NLGRQ,13,"5,35","89,9","13,6",
32,ABLIANI,9693068,Crude/Oil Products Tanker,9HA4031,256903000,MT,MTMLA,14,"14,65","249,9",44,
33,ABSALON,9284441,Frigate,OUFA,220189000,DK,"",18,"5,8",137,19,
34,ABSHERON,8721428,General Cargo Ship,5VHI6,671155100,TG,TGLFW,13,"4,13","115,75",13,
35,AC SHANGHAI,9225055,Bulk Carrier,3ESN9,353737000,PA,PAPTY,12,"14,15",225,"32,25",
36,AC-D,9428437,Chemical/Products Tanker,9HGA9,256934000,MT,MTMLA,11,"6,86","122,53","17,2",
37,ACADIA PARK,9780548,Chemical/Products Tanker,D5RN4,636018818,LR,LRMLW,11,"9,76","145,05","24,2",
38,ACAMAR,9587817,Chemical/Products Tanker,FICN,226019000,FR,FRMRS,11,"11,52",184,"27,4",
39,ACCUM,9505314,General Cargo Ship,ZDKA8,236583000,GI,GIGIB,13,"5,3","85,97","12,4",
40,ACE,1011537,Yacht,ZGBZ8,319892000,KY,"",23,"3,75",85,"13,8",
41,ACE,9191395,"",ELXO9,636011215,LR,LRMLW,14,"12,02",182,30,
42,ACEROMAR,9552082,General Cargo Ship,LXRV,253371000,LU,LULUX,13,"6,15","99,39","13,34",
43,ACHERON,,"",8371,,FR,FRTLN,18,"3,2","41,6","7,5",
44,ACONIT,,"",4149,,FR,FRBES,18,"5,9",125,"15,4",
45,ACQUAMARINA,9268631,Chemical/Products Tanker,IBJJ,247102500,IT,ITAOI,11,"8,03","136,5","20,4",
46,ACRA,9693410,Bulk Carrier,D5RZ9,636018913,LR,LRMLW,12,"14,47",229,"32,26",
47,ADA,9420693,Chemical/Products Tanker,V7ON9,538003122,MH,MHMAJ,11,"6,29","105,5","16,8",
48,ADA HARDY,,"",VJN3123,503383800,AU,"",23,2,"18,65","5,6",
49,ADALADY,9306421,General Cargo Ship,D5QT8,636018661,LR,LRMLW,13,"7,04","108,4","18,2",
50,ADALINE,9701243,Bulk Carrier,5LKD2,636022717,LR,LRMLW,12,"9,82","179,96",30,
51,ADAMAR,7614628,"",E5U3015,518100070,CK,CKAIU,13,"4,36","80,96","11,94",
52,ADAMASTOS,9879698,LNG Tanker,9HA5361,215905000,MT,MTMLA,14,"12,5","299,08","46,4",
53,ADAMS,9260914,Container Ship (Fully Cellular),D5DR5,636015952,LR,LRMLW,17,"14,02","279,7",40,
54,ADAPEARL,9539432,Bulk Carrier,D5VU2,636019711,LR,LRMLW,20,"8,79","115,33","19,6",
55,ADARA,9587829,Chemical/Products Tanker,FICS,226044000,FR,FRMRS,11,"11,52",184,"27,4",
56,ADAROSE,9392107,Bulk Carrier,D5TP8,636019247,LR,LRMLW,12,"8,79","115,33","19,6",
57,ADASUN,9306445,General Cargo Ship,D5QT9,636018662,LR,LRMLW,13,"7,04","108,28","18,2",
58,ADDICTION,1010193,Yacht,9HA4571,248233000,MT,MTMLA,23,"3,15","54,3",9,
59,ADEL.S,9155937,General Cargo Ship,JVQY7,457273000,MN,MNULN,13,"7,46","130,65","15,87",
60,ADELAIDE,9597721,Chemical/Products Tanker,9V9410,566018000,SG,SGSIN,11,"9,72",149,24,
61,ADELINE,9186704,Chemical/Products Tanker,3EXM7,353452000,PA,PAPTY,11,"8,36","145,61","19,6",
62,ADIL IBRAHIMLI,9575319,Chemical/Products Tanker,5LEV8,636093087,LR,LRMLW,11,"4,6","139,95","16,6",
63,ADILIA I,9318761,Container Ship (Fully Cellular),CQEA7,255806330,PT,PTFNC,17,"8,68","140,48","22,8",
64,ADINATH,9437634,Bulk Carrier,AWWF,419001306,IN,INBOM,12,"6,71","119,95","16,8",
65,ADIX,1000150,Yacht (Sailing),GCGR,232398000,GB,GBLON,23,"5,06",67,"8,6",
66,ADIYAMAN,9305453,Chemical/Products Tanker,TCA7182,271050683,TR,TRIST,11,"6,2","96,3","14,2",
67,ADMIRAL DE RIBAS,9106900,General Cargo Ship,T8A3308,511100209,PW,"",13,"5,45","88,77","12,8",
68,ADMIRAL GALAXY,9365843,Container Ship (Fully Cellular),D5VL9,636019647,LR,LRMLW,17,11,"182,85",28,
69,ADMIRAL STAR,9360972,Container Ship (Fully Cellular),5LEA5,636021459,LR,LRMLW,17,"7,82","125,85","21,7",
70,ADRIA ACE,9446881,Vehicles Carrier,C6XA8,311003900,BS,BSNAS,21,"8,77",176,"31,1",2
71,ADRIANO KNUTSEN,9831220,LNG Tanker,EBRY,224983000,ES,ESSCT,14,"12,52","298,97",48,
72,ADRIATA,9005376,General Cargo Ship,CQEP,255805693,PT,PTFNC,13,"6,4","104,4","16,2",
73,ADRIATIC HIGHWAY,9442885,Vehicles Carrier,7JDP,432665000,JP,JPUKB,21,"10,02","199,97","32,26",2
74,ADVANTAGE LIFE,9708564,Crude/Oil Products Tanker,V7JN4,538006075,MH,MHMAJ,14,"14,66","249,9",44,
75,ADVANTAGE PARK,9295347,Chemical/Products Tanker,V7UA5,538007536,MH,MHMAJ,11,"11,22","182,55","27,34",
76,ADVANTAGE PARTY,9327360,Chemical/Products Tanker,V7TU5,538007533,MH,MHMAJ,11,"11,22","182,55","27,34",
77,ADVANTAGE PRETTY,9314832,Chemical/Products Tanker,V7TX4,538007535,MH,MHMAJ,11,"11,22","182,55","27,34",
78,ADVANTAGE PRIDE,9314806,Chemical/Products Tanker,V7TX3,538007534,MH,MHMAJ,11,"11,22","182,55","27,34",
79,ADVENTURE,1007641,Yacht,9HA4357,249729000,MT,MTMLA,23,"3,35","49,99","9,3",
80,ADVENTURE OF THE SEAS,9167227,Passenger/Cruise,C6SA3,311263000,BS,BSNAS,16,"9,1","311,12","38,6",
81,AE NEPTUNE,9373620,Bulk Carrier,5LHL2,636022157,LR,LRMLW,12,"12,54","189,93","32,26",
82,AEGEA,9217644,Bulk Carrier,V7OX9,538006601,MH,MHMAJ,12,"13,8","224,92","32,2",
83,AEGEAN BREEZE,8202367,"",9VYJ,563187000,SG,SGSIN,21,"8,42",164,"28,04",2
84,AEGEAN MAJESTY,9102992,Passenger/Cruise,ZCEZ7,310801000,BM,BMBDA,16,"7,72","219,21","30,8",
85,AEGEAN ODYSSEY,7225910,Passenger/Cruise,HOBW,374757000,PA,PAPTY,16,"6,58","140,5","20,8",
86,AEGEAN QUEEN,6821080,"",9HA2738,215467000,MT,MTMLA,16,"6,72","160,11","22,84",
87,AEGEAN SPIRIT,9725419,Bulk Carrier,V7A4843,538009521,MH,MHMAJ,12,"10,6","179,9",30,
