"UNLOCODE","NOMLOCALITAT","ISOPAIS","NOMPAIS","AREGEOGRAFICA","NOMAREAGEOGRAFICA"
"AEABU","Abu al Bukhoosh","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AEAJM","Ajman","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AEAMF","Mussafah                           ","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AEAMU","Abu Musa                           ","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AEAUH","Abu Dhabi","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AEDAS","Das Island","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AEDBP","Dibba                              ","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AEDUJ","The Palm Jumeirah                  ","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AEDXB","Dubai","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AEEND","Esnnad                             ","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AEFAT","Fateh Terminal","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AEFJR","Al Fujayrah","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AEHTL","Hulaylah Terminal                  ","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AEJEA","Jebel Ali","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AEJED","Jebel Dhanna","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AEKHL","Mina Khalifa (Abu Dhabi)           ","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AEKLB","Kalba                              ","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AEKLF","Khor al Fakkan","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AEMBS","Mubarras Island","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AEMKH","Mina Khalid                        ","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AEMSA","Mina Saqr","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AEMUB","Mubarek Terminal","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AEMZD","Mina Zayed/Abu Dhabi","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AEPRA","Port Rashid","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AEQIV","Umm Al Qaiwain","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AEQIW","Umm al Qaiwain","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AERFA","Mirfa                              ","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AERKT","Ras al Khaimah","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AERUW","Ar Ruways","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AERWP","Ruwais Port","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AESHJ","Sharjah","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
"AESID","Sadiyat I.                         ","AE","United Arab Emirates","05","Persian Gulf/Arabian Sea"
