Terminal ABR;Terminal;Data (any);Data (mes);Data (dia del mes);Data;Rang Data;Temps Accés Reserva;Temps Accés
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;2;2017/01/02;05:40 - 06:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;2;2017/01/02;06:00 - 06:20;;10,66666429
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;2;2017/01/02;06:20 - 06:40;;4,9875
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;2;2017/01/02;06:40 - 07:00;;4,321421429
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;2;2017/01/02;07:00 - 07:20;;5,423346667
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;2;2017/01/02;07:20 - 07:40;;5,823608333
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;2;2017/01/02;07:40 - 08:00;;6,054158333
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;2;2017/01/02;08:00 - 08:20;;9,305544444
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;2;2017/01/02;08:20 - 08:40;;4,87501
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;2;2017/01/02;08:40 - 09:00;;11,10715714
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;2;2017/01/02;09:00 - 09:20;;7,818511111
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;2;2017/01/02;09:20 - 09:40;;6,014278571
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;2;2017/01/02;09:40 - 10:00;;9,534311765
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;2;2017/01/02;10:00 - 10:20;;6,534317647
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;2;2017/01/02;10:20 - 10:40;;9,61852963
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;2;2017/01/02;10:40 - 11:00;;11,240625
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;2;2017/01/02;11:00 - 11:20;;7,969993333
